year,Location,Crop,precipitation (mm),Temperature (°C),Irrigation water usage (m³),Water availability (m³),Crop yield (metric tons/hectare),Irrigation efficiency (%),Irrigation method,Soil moisture (%),water salinity (ppm),Greenhouse gas emissions (metric tons)
2020,Kenya,Cowpeas,1493.68,34.3,8011.14,30373.37,5.97,0.83,Center pivot irrigation,0.42,656.03,12.25
2018,Tanzania,Sorghum,1375.82,25.18,3194.47,67258.82,9.54,0.53,Sprinkler irrigation,0.47,570.21,52.49
2003,Burundi,Cowpeas,1857.27,18.61,5289.78,60686.11,9.37,0.8,Sprinkler irrigation,0.16,365.05,44
2023,Tanzania,Fruits,1149.36,17.86,2119.31,81868.93,1.81,0.77,Center pivot irrigation,0.26,453.88,77.74
2016,Uganda,Irish potatoes,1379.98,15.75,4679.55,64907.21,1.85,0.52,Flood irrigation,0.35,730.86,84.29
2021,Rwanda,Sunflower,908.42,22.25,3546.39,94547.61,6.6,0.72,Flood irrigation,0.22,175.9,19.76
2016,Kenya,Cassava,611.68,31,3169.88,50032.4,8.8,0.79,Flood irrigation,0.25,500.28,74.4
1993,Burundi,Soybeans,1965.38,20.71,6122.97,89380.15,7.12,0.53,Drip irrigation,0.26,356.43,58.41
2014,Rwanda,Irish potatoes,851.53,25.16,1103.92,31510.56,6.2,0.84,Drip irrigation,0.5,884.67,89.03
1998,South Sudan,Wheat,1615.11,15.07,8707.61,67717.38,8.81,0.54,Center pivot irrigation,0.43,643.18,16.43
2015,Uganda,Groundnuts,1640.11,32.01,4330,66306.48,7.49,0.87,Sprinkler irrigation,0.12,971.71,56.25
2015,Kenya,Pigeon peas,1421.74,19.05,3546.69,58315.82,4.97,0.67,Flood irrigation,0.19,188.18,70.84
2015,Tanzania,Beans,633.91,18.68,5537.53,77330.03,3.47,0.58,Sprinkler irrigation,0.23,411.14,75.41
2016,Uganda,Cassava,784.77,28.42,2920.92,71164.92,1.27,0.6,Center pivot irrigation,0.42,924.66,76.66
2005,Kenya,Millet,1038.67,22.02,1750.97,59522.14,6.7,0.85,Drip irrigation,0.33,181.13,41.52
2003,Kenya,Sweet potatoes,625.97,24.73,3270.7,59554.7,6.86,0.56,Drip irrigation,0.37,766.17,43.44
2005,South Sudan,Irish potatoes,1057.2,34.04,5978.55,42584.93,6.97,0.7,Center pivot irrigation,0.38,566.54,78.22
1993,Burundi,Cassava,791.94,33.64,1468.62,31829.81,7.26,0.83,Center pivot irrigation,0.38,414.84,99.43
1999,Tanzania,Beans,1324.54,30.22,5476.81,89840.29,1.97,0.58,Flood irrigation,0.13,714.12,44.03
2007,Burundi,Wheat,1879.65,33.74,5047.89,69376.82,8.28,0.5,Flood irrigation,0.34,541.69,83.62
2019,Uganda,Soybeans,1781.44,33.6,2141.99,12938.29,1.24,0.83,Drip irrigation,0.18,975.61,56.15
2007,South Sudan,Groundnuts,1034.77,24.23,2665.04,73687.36,5.44,0.56,Drip irrigation,0.19,948.91,85.03
1997,Rwanda,Sorghum,1658.77,25.55,7757.58,52730.63,1.27,0.75,Sprinkler irrigation,0.43,473.99,99.69
2022,Uganda,Soybeans,1458.99,29.69,3724.18,21823.32,8.56,0.72,Center pivot irrigation,0.17,855.94,33.07
1998,South Sudan,Maize,557.93,22.69,5212.01,74720.47,1.53,0.53,Sprinkler irrigation,0.32,357.54,34.57
1998,Tanzania,Sorghum,641.33,20.89,6371.18,96516.93,8.06,0.77,Sprinkler irrigation,0.39,358.01,95.4
2012,Rwanda,Sorghum,1860.7,21.49,9235.54,70800.72,8.99,0.58,Flood irrigation,0.31,670.06,45.37
2018,Uganda,Maize,1211.27,33.79,7006.05,54177.82,3.32,0.82,Sprinkler irrigation,0.44,138.2,36.8
2020,Uganda,Fruits,1645.35,17.01,1316.59,48449.43,3.82,0.88,Drip irrigation,0.28,532.26,38.12
1993,Burundi,Cassava,1832.14,28.01,4736.85,77628.13,1.18,0.74,Center pivot irrigation,0.43,825.5,37.14
1994,Kenya,Sunflower,1692.51,18.79,4941.51,44843.35,9.21,0.86,Sprinkler irrigation,0.36,544.55,95.33
2002,Rwanda,Pigeon peas,1160,32.67,8595.23,96696.06,8.97,0.5,Center pivot irrigation,0.38,293.78,77.12
2008,Tanzania,Vegetables,500.89,22.39,5240.95,19920.97,8.63,0.6,Flood irrigation,0.37,533.32,63.94
2004,Tanzania,Sweet potatoes,1637.25,25.31,9510.23,53069.9,6.75,0.81,Flood irrigation,0.15,819.75,40.23
2001,Uganda,Groundnuts,1303.02,23.3,2973.98,44960.39,2.84,0.89,Sprinkler irrigation,0.45,764.83,23.46
2006,Burundi,Vegetables,575.29,31.63,9406.16,23300.12,8.93,0.71,Center pivot irrigation,0.15,450.97,47.67
2018,Tanzania,Soybeans,1138.75,28.53,5409.66,22328.96,3.92,0.72,Sprinkler irrigation,0.48,333.96,79.95
2021,Kenya,Groundnuts,1411,34.22,8746.47,23326.1,5.33,0.84,Sprinkler irrigation,0.25,122.18,90.17
2009,Kenya,Pigeon peas,828.04,18.4,9232.72,58375.12,3.14,0.84,Drip irrigation,0.35,369.2,75.04
1993,Kenya,Groundnuts,1417.37,15.42,4221.06,63250.69,5.04,0.89,Drip irrigation,0.2,756.03,56.87
1993,Uganda,Fruits,1326.4,24.77,3394.12,71157.31,4.36,0.68,Center pivot irrigation,0.37,322.98,45.34
2006,Rwanda,Cassava,1348.45,16.52,5532.54,99086,1.98,0.59,Sprinkler irrigation,0.49,241.46,40.05
2015,Tanzania,Irish potatoes,1410.08,31.65,2729.27,57637.18,2.67,0.56,Sprinkler irrigation,0.46,933.94,49.35
2023,Uganda,Groundnuts,1634.64,25.98,1210.47,23704.66,1.44,0.89,Flood irrigation,0.22,528.27,94.53
2006,South Sudan,Fruits,1607.14,19.1,2698.88,21243.88,1.94,0.75,Flood irrigation,0.43,492.6,39.76
2008,South Sudan,Millet,755.72,23.87,8184.11,33145.91,4.21,0.71,Center pivot irrigation,0.27,882.61,30.2
2005,Kenya,Fruits,654.95,29.43,8797.38,36807.53,1.31,0.73,Drip irrigation,0.35,552.48,89.56
2020,Kenya,Millet,1025.9,32.02,5743.25,69669.55,5.19,0.53,Drip irrigation,0.28,861.72,37.53
2017,Rwanda,Millet,681.99,34.09,4737.68,60456.33,2.33,0.5,Center pivot irrigation,0.36,878.67,82.96
1999,Uganda,Vegetables,1079.92,24.97,4372.04,53848.68,2.35,0.62,Center pivot irrigation,0.35,140.81,26.07
2009,Burundi,Cassava,1573.16,25,4632.13,20652.76,1.13,0.86,Flood irrigation,0.35,454.33,41.12
2014,Uganda,Fruits,1779.67,23.04,1204.74,81367.3,5.86,0.54,Drip irrigation,0.15,297.66,40.96
2011,South Sudan,Cowpeas,1147.38,28.06,2451.86,39352.96,1.43,0.69,Drip irrigation,0.16,701.71,73.76
1993,Rwanda,Irish potatoes,969.16,30.41,1148.88,29418.86,5.2,0.82,Flood irrigation,0.39,318.54,68.39
2002,Uganda,Beans,1733.84,29.43,7028.91,85527.9,1.25,0.86,Flood irrigation,0.36,993.61,65.78
2012,Tanzania,Millet,1112.52,21.31,3984.52,59059.66,1.71,0.63,Drip irrigation,0.21,266.88,59.91
1997,Uganda,Sweet potatoes,1664.38,21.58,2506.58,17832.71,3.73,0.74,Flood irrigation,0.36,960.52,33.54
1999,Rwanda,Cowpeas,1033.55,34.11,9484.44,12978.72,2.57,0.84,Center pivot irrigation,0.33,740.83,70.18
1995,Burundi,Vegetables,1495.52,15.95,6138.28,77024.06,8.05,0.79,Flood irrigation,0.27,961.3,35.56
2013,Tanzania,Pigeon peas,1788.78,20.56,5643.78,68916.34,1.1,0.55,Drip irrigation,0.44,222.92,72.19
2014,South Sudan,Rice,1515.08,24.98,5809.18,96848.3,4.88,0.77,Sprinkler irrigation,0.33,645.39,81.12
1999,Burundi,Rice,584.39,25.77,4742.91,81036.24,4.38,0.82,Sprinkler irrigation,0.12,846.56,48.04
1994,Uganda,Cowpeas,633.91,25.53,2221.58,42297.34,3.42,0.73,Flood irrigation,0.35,186.36,57.51
2011,Burundi,Cowpeas,733.78,32.65,1203.32,56172.91,9.71,0.72,Sprinkler irrigation,0.48,577.99,48.64
1999,South Sudan,Sunflower,1781.06,33.86,1275.81,70224.59,9.25,0.84,Center pivot irrigation,0.19,666.29,71.36
2018,South Sudan,Vegetables,600.61,15.03,6163.24,95749.26,8.27,0.88,Drip irrigation,0.18,821.16,20.66
